"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 01 11:25:05 WAT 2023","Fri Dec 01 11:25:07 WAT 2023","2362","Accounts and settings","User","","","","Resend / Cancel invitation",""
"failed","Fri Dec 01 11:22:36 WAT 2023","Fri Dec 01 11:22:38 WAT 2023","2375","Contact management","Lists","","","","Add existing contacts to a list",""
"passed","Fri Dec 01 11:15:58 WAT 2023","Fri Dec 01 11:16:00 WAT 2023","2497","Sales CRM","Companies","","","","Create a company",""
"passed","Fri Dec 01 11:14:17 WAT 2023","Fri Dec 01 11:14:19 WAT 2023","2302","Accounts and settings","Reseller","IP management","","","Associate a dedicated IP to the child",""
"passed","Fri Dec 01 11:14:05 WAT 2023","Fri Dec 01 11:14:07 WAT 2023","2416","Accounts and settings","Webhooks","","","","Get a webhook details",""
"failed","Fri Dec 01 11:20:44 WAT 2023","Fri Dec 01 11:20:47 WAT 2023","2343","Marketing","Email Campaigns","","","","Delete an email campaign",""
"passed","Fri Dec 01 11:21:52 WAT 2023","Fri Dec 01 11:21:54 WAT 2023","2555","Marketing","WhatsApp Campaigns","","","","Send your WhatsApp template for approval",""
"passed","Fri Dec 01 11:26:47 WAT 2023","Fri Dec 01 11:26:50 WAT 2023","2458","Conversations","Pushed messages","","","","Send an automated message to a visitor",""
"failed","Fri Dec 01 11:16:00 WAT 2023","Fri Dec 01 11:16:03 WAT 2023","2430","Sales CRM","Companies","","","","Get company attributes",""
"passed","Fri Dec 01 11:16:33 WAT 2023","Fri Dec 01 11:16:35 WAT 2023","2329","Sales CRM","Deals","","","","Update a deal",""
"passed","Fri Dec 01 11:19:03 WAT 2023","Fri Dec 01 11:19:09 WAT 2023","5345","Transactional","Blocked Contacts","","","","Get the list of blocked or unsubscribed transactional contacts",""
"passed","Fri Dec 01 11:20:59 WAT 2023","Fri Dec 01 11:21:01 WAT 2023","2353","Marketing","Email Campaigns","","","","Get an A/B test email campaign results",""
"passed","Fri Dec 01 11:09:35 WAT 2023","Fri Dec 01 11:09:41 WAT 2023","5426","Transactional","Statistics","","","","Get your transactional email activity aggregated over a period of time",""
"passed","Fri Dec 01 11:26:07 WAT 2023","Fri Dec 01 11:26:10 WAT 2023","3054","Sales CRM","Tasks","","","","Update a task",""
"passed","Fri Dec 01 11:16:38 WAT 2023","Fri Dec 01 11:16:41 WAT 2023","3040","Sales CRM","Tasks","","","","Create a task",""
"passed","Fri Dec 01 11:13:10 WAT 2023","Fri Dec 01 11:13:12 WAT 2023","2508","Contact management","Lists","","","","Get all the lists",""
"passed","Fri Dec 01 11:15:46 WAT 2023","Fri Dec 01 11:15:48 WAT 2023","2354","Accounts and settings","User","","","","Revoke user permission",""
"passed","Fri Dec 01 11:21:30 WAT 2023","Fri Dec 01 11:21:32 WAT 2023","2449","Marketing","SMS Campaigns","","","","Export an SMS campaign's recipients",""
"passed","Fri Dec 01 11:27:19 WAT 2023","Fri Dec 01 11:27:21 WAT 2023","2484","eCommerce","Products","","","","Create products in batch",""
"passed","Fri Dec 01 11:23:34 WAT 2023","Fri Dec 01 11:23:36 WAT 2023","2310","Accounts and settings","Reseller","IP management","","","Dissociate a dedicated IP to the child",""
"passed","Fri Dec 01 11:26:57 WAT 2023","Fri Dec 01 11:27:00 WAT 2023","2348","eCommerce","Orders","","","","Create/update an order",""
"passed","Fri Dec 01 11:17:54 WAT 2023","Fri Dec 01 11:18:00 WAT 2023","5408","Transactional","Email API","","","","Send a scheduled transactional email",""
"passed","Fri Dec 01 11:24:37 WAT 2023","Fri Dec 01 11:24:39 WAT 2023","2423","Accounts and settings","Senders","","","","Update a sender",""
"passed","Fri Dec 01 11:21:20 WAT 2023","Fri Dec 01 11:21:23 WAT 2023","2289","Marketing","SMS Campaigns","","","","Delete an SMS campaign",""
"passed","Fri Dec 01 11:21:04 WAT 2023","Fri Dec 01 11:21:06 WAT 2023","2567","Marketing","Email Campaigns","","","","Export the recipients of an email campaign",""
"passed","Fri Dec 01 11:23:10 WAT 2023","Fri Dec 01 11:23:12 WAT 2023","2417","Contact management","Attributes","","","","Create contact attribute",""
"passed","Fri Dec 01 11:27:07 WAT 2023","Fri Dec 01 11:27:09 WAT 2023","2375","eCommerce","Categories","","","","Create categories in batch",""
"passed","Fri Dec 01 11:16:20 WAT 2023","Fri Dec 01 11:16:22 WAT 2023","2675","Sales CRM","Deals","","","","Create a deal",""
"passed","Fri Dec 01 11:24:34 WAT 2023","Fri Dec 01 11:24:37 WAT 2023","2438","Accounts and settings","Senders","","","","Get all the dedicated IPs for your account",""
"passed","Fri Dec 01 11:26:04 WAT 2023","Fri Dec 01 11:26:07 WAT 2023","2932","Sales CRM","Tasks","","","","Delete a task",""
"passed","Fri Dec 01 11:23:41 WAT 2023","Fri Dec 01 11:23:44 WAT 2023","2540","Accounts and settings","Reseller","Domains","","","Update the sender domain of reseller's child based on the childIdentifier and domainName passed",""
"passed","Fri Dec 01 11:26:13 WAT 2023","Fri Dec 01 11:26:15 WAT 2023","2374","Sales CRM","Notes","","","","Create a note",""
"passed","Fri Dec 01 11:10:29 WAT 2023","Fri Dec 01 11:10:35 WAT 2023","5537","Transactional","Logs","","","","Delete an SMTP transactional log",""
"passed","Fri Dec 01 11:09:57 WAT 2023","Fri Dec 01 11:10:02 WAT 2023","5338","Transactional","Blocked Contacts","","","","Unblock or resubscribe a transactional contact",""
"passed","Fri Dec 01 11:24:29 WAT 2023","Fri Dec 01 11:24:31 WAT 2023","2450","Accounts and settings","Senders","","","","Get the list of all your senders",""
"failed","Fri Dec 01 11:11:34 WAT 2023","Fri Dec 01 11:11:36 WAT 2023","2548","Marketing","Email Campaigns","","","","Create an email campaign Copy",""
"failed","Fri Dec 01 11:13:26 WAT 2023","Fri Dec 01 11:13:29 WAT 2023","2368","Contact management","Lists","","","","Get a list's details",""
"passed","Fri Dec 01 11:24:57 WAT 2023","Fri Dec 01 11:25:00 WAT 2023","2502","Accounts and settings","User","","","","Get the list of all your users",""
"passed","Fri Dec 01 11:08:25 WAT 2023","Fri Dec 01 11:08:31 WAT 2023","5820","Transactional","Email API","","","","Send a transactional email",""
"passed","Fri Dec 01 11:14:31 WAT 2023","Fri Dec 01 11:14:33 WAT 2023","2446","Accounts and settings","Reseller","Child accounts","","","Get a child account's details",""
"passed","Fri Dec 01 11:12:10 WAT 2023","Fri Dec 01 11:12:12 WAT 2023","2328","Marketing","SMS Campaigns","","","","Send your SMS campaign immediately",""
"failed","Fri Dec 01 11:21:59 WAT 2023","Fri Dec 01 11:22:01 WAT 2023","2599","Contact management","Contacts","","","","Create a contact",""
"passed","Fri Dec 01 11:22:21 WAT 2023","Fri Dec 01 11:22:24 WAT 2023","2332","Contact management","Contacts","","","","Delete a contact",""
"passed","Fri Dec 01 11:12:03 WAT 2023","Fri Dec 01 11:12:05 WAT 2023","2267","Marketing","SMS Campaigns","","","","Get an SMS campaign",""
